Instances, No_Node, No_cluster, No_req_node, Rate_Req 
100pr1002,1002,100,241,0.24
100rat783,783,100,204,0.26
100vm1084,1084,100,249,0.23
10a280,280,10,52,0.19
10gil262,262,10,49,0.19
10lin318,318,10,57,0.18
10pcb442,442,10,74,0.17
10pr439,439,10,74,0.17
150new1379,1379,150,328,0.24
150pcb1173,1173,150,300,0.26
150pr1002,1002,150,282,0.28
150rat783,783,150,247,0.32
150vm1084,1084,150,293,0.27
25a280,280,25,64,0.23
25gil262,262,25,63,0.24
25lin318,318,25,69,0.22
25pcb442,442,25,87,0.2
25pr439,439,25,87,0.2
50a280,280,50,86,0.31
i-50-gil262.tsp,262,50,84,0.32
50lin318,318,50,92,0.29
50nrw1379,1379,50,244,0.18
50pcb1173,1173,50,217,0.18
50pcb442,442,50,110,0.25
50pr1002,1002,50,195,0.19
50pr439,439,50,110,0.25
50rat783,783,50,161,0.21
50vm1084,1084,50,201,0.19
