Instances, No_Node, No_cluster, No_req_node, Rate_Req 
10i120-46,120,10,28,0.23
10i30-17,30,10,13,0.43
10i45-18,45,10,15,0.33
10i60-21,60,10,18,0.3
10i65-21,65,10,19,0.29
10i70-21,70,10,19,0.27
10i75-22,75,10,19,0.25
10i90-33,90,10,22,0.24
5i120-46,120,5,24,0.2
5i30-17,30,5,8,0.27
5i45-18,45,5,12,0.27
5i60-21,60,5,14,0.23
5i65-21,65,5,14,0.22
5i70-21,70,5,14,0.2
5i75-22,75,5,14,0.19
5i90-33,90,5,19,0.21
5i30-17,30,7,10,0.33
7i45-18,45,7,14,0.31
7i60-21,60,7,15,0.25
7i65-21,65,7,16,0.25
7i70-21,70,7,16,0.23
