Instances, No_Node, No_cluster, No_req_node, Rate_Req 
100pcb1173-10x10,1173,100,257,0.22
100rat783-10x10,783,100,204,0.26
10new1379-2x5,1379,10,213,0.15
12nrw1379-2x6,1379,12,214,0.16
12new1379-3x4,1379,12,214,0.16
144pcb1173-12x12,1173,144,295,0.25
144rat783-12x12,783,144,242,0.31
18pr439-3x6,439,18,81,0.18
20pr439-4x5,439,20,82,0.19
25a280-5x5,280,25,64,0.23
25gil262-5x5,262,25,63,0.24
25lin318-5x5,318,25,69,0.22
25pcb442-5x5,442,25,87,0.2
36pcb442-6x6,442,36,98,0.22
36pr1002-6x6,1002,36,183,0.18
42a280-6x7,280,42,80,0.29
42pr1002-6x7,1002,42,188,0.19
49gil262-7x7,262,49,83,0.32
49lin318-7x7,318,49,91,0.29
49pcb1173-7x7,1173,49,217,0.18
49pr1002-7x7,1002,49,194,0.19
49rat783-7x7,783,49,160,0.2
49vm1084-7x7,1084,49,200,0.18
72vm1084-8x9,1084,72,221,0.2
81vm1084-9x9,1084,81,230,0.21
9a280-3x3,280,9,51,0.18
9gil262-3x3,262,9,48,0.18
9lin318-3x3,318,9,57,0.18
9pcb442-3x3,442,9,73,0.17
9pr439-3x3,439,9,73,0.17
