Instances, No_Node, No_cluster, No_req_node, Rate_Req 
10berlin52,52,10,17,0.33
10eil51,51,10,17,0.33
5eil76,76,10,19,0.25
10kroB100,100,10,26,0.26
10pr76,76,10,19,0.25
10rat99,99,10,26,0.26
10st70,70,10,19,0.27
15berlin52,52,15,22,0.42
15eil51,51,15,21,0.41
15eil76,76,15,24,0.32
15pr76,76,15,24,0.32
15st70,70,15,24,0.34
25eil101,101,25,37,0.37
25kroA100,100,25,37,0.37
25lin105,105,25,37,0.35
25rat99,99,25,37,0.37
50eil101,101,50,58,0.57
50kroA100,100,50,58,0.58
50kroB100,100,50,58,0.58
50lin105,105,50,59,0.56
50rat99,99,50,58,0.59
5berlin52,52,5,13,0.25
5eil51,51,5,12,0.24
5eil76,76,5,14,0.18
5pr76,76,5,14,0.18
5eil70,70,5,14,0.2
75lin105,105,75,80,0.76
